Artist,Listeners,Daily Trend,Peak,PkListeners
Billie Eilish,"105,759,656","6,626,996",1,"105,759,656"
The Weeknd,"105,046,690","6,464,509",1,"117,203,987"
Taylor Swift,"95,647,057","4,983,541",1,"116,229,071"
Coldplay,"87,339,317","7,695,998",4,"87,403,624"
Post Malone,"84,787,711","5,067,028",3,"98,466,468"
Rihanna,"84,671,955","5,701,795",2,"87,326,767"
David Guetta,"79,904,074","5,883,293",4,"80,447,076"
Eminem,"79,500,871","5,178,094",5,"86,389,533"
Bruno Mars,"77,036,021","8,515,391",7,"77,060,514"
Ariana Grande,"76,786,663","5,063,444",3,"99,648,377"
Drake,"76,421,975","4,103,140",3,"86,591,246"
Sabrina Carpenter,"76,200,862","4,932,690",4,"86,978,817"
Justin Bieber,"75,639,617","6,232,428",3,"95,396,733"
Calvin Harris,"73,476,008","5,251,979",13,"73,882,008"
Dua Lipa,"72,579,069","5,659,334",3,"78,673,675"
Kendrick Lamar,"72,366,380","3,285,749",8,"78,851,748"
Travis Scott,"70,064,552","3,963,745",6,"75,422,869"
SZA,"67,549,215","4,323,761",9,"74,637,927"
Ed Sheeran,"66,985,517","6,078,329",2,"87,934,910"
Kanye West,"66,453,300","3,265,276",6,"78,581,428"
Shakira,"66,264,091","5,503,287",3,"82,268,835"
Bad Bunny,"65,757,485","2,765,659",3,"84,533,787"
Lana Del Rey,"63,045,088","4,708,529",22,"64,952,989"
Maroon 5,"62,714,132","5,497,158",21,"63,296,331"
KAROL G,"61,868,275","3,346,752",21,"61,868,275"
Lady Gaga,"60,907,393","7,549,167",22,"60,907,393"
Marshmello,"60,722,441","4,858,944",11,"68,947,085"
Imagine Dragons,"60,073,347","5,132,537",18,"62,393,284"
OneRepublic,"59,224,041","5,196,899",23,"64,167,172"
Katy Perry,"58,898,986","4,966,072",23,"61,909,408"
J Balvin,"58,010,115","4,237,627",29,"58,064,134"
Future,"57,987,076","2,922,352",22,"65,628,348"
Beyoncé,"57,742,343","4,790,214",6,"78,122,541"
Adele,"57,439,711","6,140,144",31,"58,244,524"
Miley Cyrus,"56,857,380","5,028,558",2,"84,140,935"
Sia,"55,584,313","5,918,004",8,"82,360,014"
Harry Styles,"55,349,466","4,415,731",13,"66,411,599"
Metro Boomin,"55,230,201","2,738,718",17,"64,728,517"
Khalid,"55,106,893","4,293,412",28,"55,106,893"
Daddy Yankee,"54,190,915","4,384,091",22,"58,098,739"
Hozier,"53,894,878","3,725,241",32,"57,616,097"
Benson Boone,"53,559,324","3,990,192",31,"60,310,612"
Queen,"53,242,165","5,307,902",30,"59,814,703"
21 Savage,"52,511,106","2,948,858",17,"66,771,445"
Sam Smith,"52,429,013","5,001,467",7,"73,972,799"
Rauw Alejandro,"51,997,631","2,446,320",34,"53,296,711"
Doja Cat,"51,712,187","3,585,385",5,"76,357,864"
Arctic Monkeys,"51,401,485","4,587,877",41,"51,868,167"
Elton John,"51,395,927","4,621,316",16,"68,098,396"
Peso Pluma,"50,649,337","1,667,960",27,"59,429,724"
The Chainsmokers,"50,295,129","5,301,533",48,"50,559,085"
Pitbull,"49,652,199","4,445,748",44,"51,942,691"
Chris Brown,"49,623,414","3,806,479",25,"54,390,450"
Olivia Rodrigo,"49,053,076","3,143,665",18,"64,128,148"
Cris Mj,"48,216,038","3,108,541",52,"49,896,640"
Tiësto,"47,243,240","4,100,590",38,"53,621,311"
Nicki Minaj,"46,513,769","3,538,284",18,"65,680,733"
Shawn Mendes,"46,025,013","5,427,474",45,"46,917,936"
Maluma,"45,016,947","2,973,687",56,"45,016,947"
The Kid LAROI,"44,974,183","3,777,223",50,"44,974,183"
Michael Jackson,"44,037,351","4,571,305",56,"44,037,351"
Feid,"43,899,994","1,965,613",53,"46,407,503"
One Direction,"43,844,257","4,560,575",58,"45,871,293"
Morgan Wallen,"43,820,963","1,808,063",59,"46,385,773"
Playboi Carti,"43,539,808","2,564,186",31,"59,047,563"
Ellie Goulding,"43,506,542","4,295,789",51,"45,626,754"
Ozuna,"43,249,391","3,229,894",40,"51,532,028"
Camila Cabello,"42,842,088","4,290,375",57,"46,949,182"
Black Eyed Peas,"42,763,208","4,634,617",57,"42,763,208"
Myke Towers,"42,541,015","2,472,743",48,"47,235,005"
The Neighbourhood,"42,409,254","3,500,855",66,"42,534,912"
Halsey,"42,324,973","3,603,289",48,"45,939,636"
Charli xcx,"42,167,730","3,323,372",72,"42,167,730"
Bebe Rexha,"41,734,127","4,084,775",37,"49,496,274"
Chappell Roan,"41,479,925","2,259,203",69,"41,479,925"
USHER,"41,396,146","3,591,924",47,"51,216,038"
Linkin Park,"40,834,636","3,056,888",62,"43,675,170"
FloyyMenor,"40,780,063","2,789,241",66,"42,961,167"
Madonna,"40,617,577","4,493,369",50,"48,192,778"
Tate McRae,"40,454,107","3,297,661",26,"59,945,963"
Arijit Singh,"40,379,155","-67,481",57,"41,307,811"
XXXTENTACION,"40,320,275","2,161,593",67,"40,634,020"
Swae Lee,"40,216,120","4,159,490",51,"47,431,521"
Gunna,"39,801,055","2,211,708",65,"43,236,433"
Teddy Swims,"39,742,063","3,232,326",76,"40,636,245"
AC/DC,"39,728,660","4,016,448",77,"40,609,655"
Avicii,"39,619,631","4,343,098",69,"39,619,631"
Britney Spears,"39,538,707","3,937,929",59,"48,224,978"
Manuel Turizo,"39,355,960","2,831,643",66,"39,587,171"
Ty Dolla $ign,"38,980,592","2,352,034",40,"52,532,512"
Justin Timberlake,"38,781,121","3,939,761",57,"46,918,730"
Creedence Clearwater Revival,"38,489,731","3,821,938",92,"38,494,432"
Tommy Richman,"38,411,687","2,357,616",47,"50,755,802"
Ne-Yo,"38,387,419","3,986,722",81,"39,892,671"
J. Cole,"38,297,382","1,840,850",45,"48,760,887"
Central Cee,"38,194,382","2,456,928",78,"40,321,501"
Selena Gomez,"38,170,353","3,807,599",22,"58,879,269"
Don Omar,"37,964,444","3,944,572",89,"38,432,695"
Shreya Ghoshal,"37,799,968","56,117",81,"37,951,255"
Pritam,"37,718,724","-87,555",77,"37,937,119"
Tom Odell,"37,540,361","3,762,720",101,"37,540,361"
The Beatles,"37,266,818","3,435,317",78,"37,266,818"
Red Hot Chili Peppers,"37,146,408","3,203,014",81,"39,602,017"
James Arthur,"37,111,354","3,711,999",69,"40,276,141"
50 Cent,"37,102,964","3,442,469",91,"37,531,461"
Lil Baby,"37,017,110","1,672,488",76,"41,194,598"
P!nk,"36,850,361","4,070,370",68,"37,814,655"
Charlie Puth,"36,732,172","3,337,668",58,"42,603,508"
Frank Ocean,"36,403,207","2,015,322",102,"36,494,482"
Lil Wayne,"35,966,838","2,176,407",70,"39,983,298"
Farruko,"35,856,961","3,435,563",64,"39,498,431"
Fleetwood Mac,"35,727,383","2,614,583",97,"35,832,635"
Lost Frequencies,"35,687,425","3,466,632",113,"35,687,425"
A.R. Rahman,"35,686,567","94,866",95,"35,686,567"
Kesha,"35,627,327","3,245,238",105,"36,781,744"
A$AP Rocky,"35,554,870","1,788,403",91,"38,053,171"
DJ Snake,"35,172,210","3,745,455",95,"37,261,803"
Kygo,"35,135,329","3,308,578",95,"37,407,823"
Pharrell Williams,"35,129,227","4,146,331",90,"37,520,208"
Macklemore,"34,776,144","-109,010",99,"36,292,075"
JAY-Z,"34,668,977","2,956,758",66,"38,587,931"
Anne-Marie,"34,461,331","3,696,316",61,"41,501,481"
Luke Combs,"34,444,190","1,249,043",114,"34,444,190"
Shaboozey,"34,369,681","2,069,385",110,"35,811,664"
Artemas,"34,331,329","2,677,401",43,"53,546,898"
Sean Paul,"34,297,015","3,607,261",66,"38,975,847"
Megan Thee Stallion,"34,205,697","2,131,471",121,"34,485,640"
Diplo,"34,186,961","-4,030",95,"34,690,463"
"Tyler, The Creator","33,969,399","1,844,348",86,"34,491,803"
ABBA,"33,713,205","3,462,001",105,"34,251,740"
Green Day,"33,699,728","2,716,002",104,"33,699,728"
Anuel AA,"33,605,591","2,513,166",83,"35,286,500"
Zach Bryan,"33,353,679","1,004,057",119,"34,463,168"
Flo Rida,"33,257,769","3,427,303",112,"34,646,575"
Bizarrap,"33,006,381","2,100,990",28,"54,300,662"
Noah Kahan,"32,913,028","1,496,517",86,"37,900,933"
Alicia Keys,"32,506,416","3,732,742",117,"33,165,571"
Lewis Capaldi,"32,473,085","3,331,814",66,"37,776,153"
Ava Max,"32,303,459","3,268,238",85,"38,288,891"
Wiz Khalifa,"32,209,955","3,577,904",103,"34,112,673"
Grupo Frontera,"31,990,322","1,343,594",64,"39,234,817"
Nirvana,"31,981,252","2,563,027",129,"32,095,337"
Guns N' Roses,"31,583,127","3,488,666",135,"31,583,127"
Jason Derulo,"31,378,867","3,482,414",77,"39,368,590"
Kali Uchis,"31,227,410","2,254,576",49,"48,511,206"
Major Lazer,"30,958,693","3,013,214",132,"31,365,666"
Twenty One Pilots,"30,928,606","2,927,764",118,"34,284,091"
Lil Uzi Vert,"30,915,964","1,802,508",67,"39,580,515"
JENNIE,"30,879,481","2,857,829",87,"36,926,087"
Carin Leon,"30,738,390","1,294,757",125,"32,386,759"
Becky G,"30,628,042","2,657,873",78,"36,514,621"
Alok,"30,592,892","2,763,813",123,"33,578,843"
Alan Walker,"30,444,170","3,001,101",100,"33,218,914"
Steve Lacy,"30,401,638","1,895,335",111,"30,699,861"
TOTO,"30,223,806","4,124,437",155,"30,223,806"
Don Toliver,"30,213,924","1,878,636",111,"30,213,924"
Anitta,"30,106,420","3,240,899",71,"39,197,056"
Lord Huron,"29,997,997","2,618,250",152,"30,422,477"
Chencho Corleone,"29,932,543","2,466,571",106,"31,161,386"
Miguel,"29,883,904","2,569,963",80,"34,144,669"
Bon Jovi,"29,792,682","3,501,866",143,"30,351,410"
Jack Harlow,"29,783,900","2,696,376",29,"59,210,566"
Cardi B,"29,756,584","2,705,618",84,"36,282,159"
Akon,"29,479,935","3,045,414",157,"29,798,477"
The Police,"29,474,242","3,386,657",144,"31,197,145"
Childish Gambino,"29,452,747","1,562,521",151,"30,712,179"
Romeo Santos,"29,194,199","2,657,314",113,"29,261,273"
Billy Joel,"29,159,288","2,429,359",132,"32,898,654"
JHAYCO,"29,042,533","2,259,966",102,"33,308,450"
Djo,"28,987,581","2,734,657",63,"44,239,817"
Snoop Dogg,"28,935,015","3,232,172",109,"31,541,502"
The Lumineers,"28,855,344","2,027,901",165,"28,855,344"
Fuerza Regida,"28,711,467","572,804",105,"33,821,006"
Nicky Jam,"28,569,927","2,776,480",128,"30,366,327"
Mark Ronson,"28,534,545","3,369,899",150,"29,455,174"
Ayra Starr,"28,507,186","2,552,788",134,"32,190,133"
The Rolling Stones,"28,423,981","2,830,800",138,"29,911,374"
Calum Scott,"28,356,529","2,786,342",131,"28,676,261"
Young Thug,"28,353,026","2,211,173",97,"33,656,406"
Juice WRLD,"28,260,572","1,584,506",94,"36,596,624"
ROSALÍA,"28,222,649","5,268,003",47,"46,715,627"
Daniel Caesar,"28,154,678","2,399,834",151,"29,396,265"
*NSYNC,"28,137,468","3,142,253",183,"28,137,468"
Radiohead,"28,116,731","2,887,368",177,"28,116,731"
a-ha,"27,999,907","4,206,883",180,"28,069,054"
Train,"27,981,422","3,986,454",171,"28,360,131"
Natasha Bedingfield,"27,861,800","2,866,224",165,"28,725,197"
The Killers,"27,847,004","2,642,665",185,"27,847,004"
Myles Smith,"27,832,742","2,131,518",170,"28,960,193"
Mitski,"27,792,878","2,252,974",71,"39,387,536"
Bob Marley & The Wailers,"27,566,033","2,870,824",170,"28,137,637"
Quevedo,"27,546,466","2,096,689",71,"38,182,790"
Trueno,"27,330,611","1,738,027",178,"28,176,321"
Enrique Iglesias,"27,317,861","2,813,656",151,"29,585,670"
Demi Lovato,"27,308,153","3,682,942",98,"33,320,815"
Robin Schulz,"27,150,351","3,160,291",76,"34,908,935"
Metallica,"27,088,262","2,653,103",144,"27,183,016"
Meghan Trainor,"27,032,782","2,761,057",69,"37,905,565"
Kodak Black,"26,959,099","1,566,863",99,"33,708,388"
Sachin-Jigar,"26,948,639","53,687",163,"26,948,639"
Christina Aguilera,"26,821,623","2,806,673",152,"30,780,655"
Bee Gees,"26,809,705","2,958,386",158,"28,740,653"
Disney,"26,756,764","2,257,764",195,"26,756,764"
Nelly Furtado,"26,702,728","3,027,523",159,"27,447,045"
Tame Impala,"26,686,250","2,132,398",162,"28,367,463"
BTS,"26,550,196","2,527,016",63,"40,741,916"
Jennifer Lopez,"26,370,794","2,984,688",194,"26,444,792"
RAYE,"26,336,804","2,459,052",70,"36,484,906"
Whitney Houston,"26,163,518","2,793,809",176,"28,723,277"
Daryl Hall & John Oates,"26,154,012","2,359,100",133,"32,606,824"
Lily-Rose Depp,"25,929,233","2,495,837",117,"32,569,522"
Zara Larsson,"25,910,314","2,415,758",162,"29,026,526"
Gorillaz,"25,889,941","2,288,377",54,"41,977,704"
Cigarettes After Sex,"25,846,507","2,570,779",214,"25,846,507"
Outkast,"25,807,210","2,691,636",203,"26,230,953"
Journey,"25,756,801","3,191,755",201,"26,816,449"
Clean Bandit,"25,754,611","3,043,666",210,"25,754,611"
Backstreet Boys,"25,659,885","3,143,382",218,"25,659,885"
Maria Becerra,"25,579,104","1,975,063",159,"26,919,900"
Vance Joy,"25,540,169","2,505,073",117,"32,405,324"
Swedish House Mafia,"25,496,675","2,629,085",187,"25,599,059"
Chris Stapleton,"25,463,777","2,116,185",221,"25,463,777"
Richy Mitch & The Coal Miners,"25,432,693","3,166,840",223,"25,432,693"
Tanishk Bagchi,"25,183,657","270,535",193,"25,232,203"
Ryan Lewis,"25,170,203","2,827,049",181,"27,624,928"
Udit Narayan,"25,155,476","241,334",192,"25,155,476"
Sevdaliza,"25,144,055","2,016,097",219,"25,431,578"
ZAYN,"25,106,171","2,744,220",160,"28,851,598"
Junior H,"25,101,569","300,259",141,"28,903,235"
The Cranberries,"25,086,733","2,731,371",228,"25,096,296"
Dominic Fike,"25,065,719","1,681,732",198,"26,534,259"
Bruce Springsteen,"25,040,445","2,502,774",145,"31,232,853"
Vishal-Shekhar,"25,021,279","313,642",189,"25,213,969"
The Goo Goo Dolls,"24,987,282","2,324,312",224,"25,244,562"
Avril Lavigne,"24,965,586","2,414,210",235,"24,965,586"
Mariah Carey,"24,949,387","2,668,791",5,"90,575,966"
CYRIL,"24,895,601","2,233,375",227,"25,127,423"
Mark Ambor,"24,885,409","2,240,793",211,"25,595,063"
d4vd,"24,876,658","2,218,148",94,"31,836,766"
French Montana,"24,849,753","2,724,388",220,"25,515,389"
The Script,"24,770,992","2,865,679",214,"25,730,408"
Glass Animals,"24,756,519","2,348,739",132,"28,077,809"
Rvssian,"24,626,225","2,028,225",180,"27,438,055"
Tyla,"24,625,175","2,297,555",112,"34,775,358"
JID,"24,578,000","2,067,449",100,"34,163,239"
AFROJACK,"24,556,542","2,853,549",246,"24,556,542"
Amitabh Bhattacharya,"24,540,539","148,384",160,"26,965,104"
Arcángel,"24,488,462","1,804,001",112,"29,918,189"
Rema,"24,454,117","2,340,418",60,"40,010,586"
Pabllo Vittar,"24,391,476","2,077,116",242,"24,426,272"
Labrinth,"24,382,308","2,162,392",67,"36,829,106"
Elvis Presley,"24,341,558","3,087,941",63,"47,003,228"
Plan B,"24,239,309","1,975,249",232,"24,657,446"
"Earth, Wind & Fire","24,181,400","3,719,767",243,"24,372,526"
Young Miko,"24,166,873","1,705,838",105,"33,633,855"
Fall Out Boy,"24,069,633","1,945,668",129,"30,377,374"
Mac Miller,"24,032,815","1,442,266",192,"24,981,549"
Offset,"23,960,484","1,827,741",183,"25,315,155"
Dr. Dre,"23,942,350","2,596,182",199,"24,486,727"
Disclosure,"23,941,423","2,213,204",253,"24,194,511"
Trippie Redd,"23,930,439","1,475,564",189,"25,472,223"
Empire Of The Sun,"23,880,446","2,145,139",236,"24,418,106"
Phil Collins,"23,878,989","2,449,392",260,"23,998,160"
Keinemusik,"23,858,102","2,437,868",264,"23,858,102"
Lil Nas X,"23,857,989","2,390,015",61,"37,597,256"
Sebastian Yatra,"23,847,199","2,236,551",137,"28,235,688"
Natanael Cano,"23,819,620","372,530",159,"28,962,500"
Måneskin,"23,748,903","1,764,338",134,"26,818,201"
Ice Spice,"23,727,847","1,408,844",49,"47,203,544"
Florence + The Machine,"23,667,600","2,249,119",108,"35,434,529"
Big Sean,"23,629,594","2,213,741",166,"29,499,746"
Bryson Tiller,"23,604,078","1,281,153",169,"28,259,185"
Adam Port,"23,587,573","2,416,408",273,"23,587,573"
Felix Jaehn,"23,563,864","2,189,952",194,"24,535,929"
DaBaby,"23,422,252","2,091,541",103,"32,070,946"
Aerosmith,"23,383,714","2,794,656",201,"23,447,874"
Elley Duhé,"23,359,576","2,238,191",150,"25,586,962"
System Of A Down,"23,358,351","2,021,235",262,"23,728,848"
Christian Nodal,"23,326,987","1,225,481",220,"24,683,573"
Nicki Nicole,"23,261,119","1,704,086",173,"27,818,511"
Kings of Leon,"23,178,115","2,594,096",281,"23,178,115"
Quavo,"23,143,805","2,067,516",188,"27,599,002"
Kid Cudi,"23,101,575","1,859,237",149,"29,550,228"
Dasha,"23,071,891","1,959,925",248,"24,181,214"
Tory Lanez,"23,069,955","1,537,693",180,"26,498,835"
Summer Walker,"23,025,694","1,598,712",167,"28,542,051"
El Alfa,"22,987,900","2,007,546",223,"23,914,135"
Bastille,"22,941,236","2,527,092",183,"26,610,747"
KK,"22,864,711","303,512",237,"22,864,711"
Kim Petras,"22,768,894","2,086,782",43,"46,551,289"
Yseult,"22,756,249","1,937,639",288,"22,756,249"
Hotel Ugly,"22,753,484","1,896,744",256,"23,321,907"
Rels B,"22,743,887","1,030,351",239,"24,237,621"
Troye Sivan,"22,741,121","2,100,556",107,"32,443,596"
Camilo,"22,685,546","1,769,946",249,"23,028,287"
Bryan Adams,"22,641,536","2,738,973",231,"24,783,927"
Dolly Parton,"22,615,062","3,292,525",253,"23,504,898"
2Pac,"22,610,480","2,247,198",189,"24,294,167"
Giveon,"22,581,916","2,220,505",145,"25,291,400"
Stephen Sanchez,"22,562,961","2,016,754",82,"34,322,910"
Panic! At The Disco,"22,547,706","2,115,131",165,"27,310,489"
Tainy,"22,490,209","1,895,621",91,"35,233,699"
Cyndi Lauper,"22,433,293","2,276,192",214,"25,807,659"
Conan Gray,"22,405,781","2,089,652",167,"28,549,479"
Brent Faiyaz,"22,344,026","1,175,432",192,"25,902,758"
Martin Garrix,"22,308,799","2,118,372",175,"23,962,214"
Nickelback,"22,199,643","1,873,159",294,"22,411,891"
Eagles,"22,157,479","2,493,449",104,"36,080,382"
Anderson .Paak,"22,142,804","2,271,141",197,"23,668,985"
Tears For Fears,"22,142,112","2,245,176",238,"24,307,146"
Lil Durk,"22,124,805","1,169,797",92,"34,773,282"
Nile Rodgers,"22,122,140","2,559,592",209,"25,999,504"
Kacey Musgraves,"22,025,664","1,479,000",182,"27,365,334"
TV Girl,"21,961,130","1,310,816",290,"22,036,999"
Tyga,"21,899,909","2,134,311",176,"25,118,039"
John Legend,"21,885,457","2,773,282",107,"35,820,305"
Shankar Mahadevan,"21,851,083","397,875",273,"21,851,083"
G-Eazy,"21,845,858","2,010,397",223,"25,019,815"
¥$,"21,799,344","1,226,540",106,"34,770,239"
Vishal Mishra,"21,788,845","282,994",227,"23,848,268"
Gracie Abrams,"21,770,446","1,567,115",254,"23,719,581"
Ovy On The Drums,"21,723,136","1,586,040",256,"22,150,604"
Anirudh Ravichander,"21,628,575","11,348",114,"31,302,762"
Oasis,"21,596,358","2,395,663",257,"23,302,391"
Luis Fonsi,"21,571,662","2,391,205",214,"23,290,182"
Daft Punk,"21,553,082","2,602,880",225,"23,376,824"
Pop Smoke,"21,317,776","1,688,063",162,"25,280,553"
Jelly Roll,"21,241,773","1,233,911",273,"23,529,805"
Paramore,"21,234,211","2,027,321",251,"21,953,962"
Disturbed,"21,232,761","1,974,983",324,"21,232,761"
Lorde,"21,168,350","1,962,913",222,"23,023,548"
ATL Jacob,"21,161,458","1,670,284",210,"25,072,953"
David Kushner,"21,099,958","1,899,790",143,"27,928,294"
The Notorious B.I.G.,"21,099,194","1,987,744",202,"23,352,541"
Annie Lennox,"21,088,677","2,550,788",301,"22,105,566"
Foster The People,"21,085,558","2,603,332",331,"21,085,558"
Macklemore & Ryan Lewis,"21,053,062","2,446,764",190,"25,456,801"
Ryan Castro,"21,052,607","1,685,592",209,"23,769,862"
Yandel,"20,960,242","1,647,494",126,"27,875,326"
Shilpa Rao,"20,893,796","677,546",158,"27,043,156"
Mc Gw,"20,863,406","1,468,093",238,"24,214,206"
JVKE,"20,851,037","1,880,561",110,"31,684,143"
Luis R Conriquez,"20,826,665","324,082",304,"21,247,229"
Van Morrison,"20,822,733","1,933,822",335,"21,027,522"
U2,"20,751,085","2,287,297",233,"23,044,157"
Aventura,"20,743,978","2,036,477",328,"20,937,457"
Alka Yagnik,"20,715,289","242,544",287,"20,715,289"
MEDUZA,"20,701,089","1,895,255",222,"22,148,251"
blink-182,"20,698,899","1,933,439",268,"21,745,222"
Jung Kook,"20,693,418","1,814,959",61,"40,791,781"
Badshah,"20,667,805","420,847",273,"23,042,104"
Atif Aslam,"20,636,537","209,489",308,"20,682,106"
Bill Withers,"20,597,348","2,502,623",219,"25,445,001"
Céline Dion,"20,596,066","1,988,622",235,"24,632,519"
Blessd,"20,542,453","1,468,851",339,"20,933,850"
Danny Ocean,"20,509,874","1,465,532",270,"20,686,331"
DJ Khaled,"20,508,565","2,046,667",124,"29,389,696"
Coi Leray,"20,490,587","2,234,865",72,"38,479,080"
Reik,"20,458,616","1,585,671",253,"21,660,367"
Foo Fighters,"20,320,699","1,880,328",231,"23,378,244"
Dido,"20,267,332","1,932,475",307,"21,688,560"
Roddy Ricch,"20,194,890","1,618,307",205,"23,016,594"
George Michael,"20,180,795","2,354,066",139,"31,867,957"
Amy Winehouse,"20,098,298","1,999,574",279,"22,846,644"
Polo G,"20,046,041","1,304,225",263,"22,834,466"
Sech,"20,009,386","1,480,747",174,"23,591,625"
Jaani,"19,960,188","420,244",319,"21,270,757"
Mithoon,"19,956,894","468,698",333,"20,001,332"
Grupo Firme,"19,888,486","1,131,333",257,"22,421,731"
Tems,"19,879,028","1,793,387",351,"20,045,383"
George Ezra,"19,837,910","1,853,499",291,"20,119,886"
Timbaland,"19,741,398","800,721",256,"21,725,657"
Nelly,"19,715,654","859,566",316,"20,062,232"
Tiago PZK,"19,678,932","1,467,391",244,"22,623,731"
Mohit Chauhan,"19,675,189","143,150",325,"19,675,189"
Skrillex,"19,560,079","1,890,101",175,"23,635,431"
The Offspring,"19,547,931","1,701,129",309,"21,326,758"
Marvin Gaye,"19,505,770","925,629",243,"22,716,809"
Oscar Maydon,"19,488,251","399,326",311,"21,571,250"
Coolio,"19,480,891","1,066,019",367,"19,628,363"
Alphaville,"19,364,403","836,778",381,"19,364,403"
Clairo,"19,316,858","517,308",377,"19,316,858"
De La Ghetto,"19,302,203","1,694,467",238,"21,703,557"
Mora,"19,293,011","453,082",151,"27,760,085"
Lil Tecca,"19,258,388","470,814",231,"23,774,244"
Shankar-Ehsaan-Loy,"19,256,104","151,925",351,"19,256,104"
Sonu Nigam,"19,234,587","183,480",336,"20,506,019"
Gabito Ballesteros,"19,212,725","481,150",237,"23,182,423"
Los Ángeles Azules,"19,203,065","621,415",374,"19,252,352"
Mac DeMarco,"19,186,515","551,946",318,"19,290,184"
Wisin & Yandel,"19,181,563","668,069",173,"23,350,285"
Keane,"19,103,035","718,028",314,"20,130,635"
Gabry Ponte,"19,084,031","675,063",379,"19,299,756"
Baby Keem,"19,063,677","1,360,384",237,"23,094,570"
Karan Aujla,"19,054,063","10,431",349,"19,861,429"
5 Seconds of Summer,"18,990,013","1,726,708",205,"25,934,585"
FISHER,"18,979,899","708,044",393,"19,035,248"
Migos,"18,958,538","645,636",296,"20,299,307"
Joji,"18,931,095","616,798",116,"29,284,554"
Alesso,"18,921,414","716,240",259,"20,146,977"
beabadoobee,"18,857,471","655,876",316,"18,857,471"
Pink Floyd,"18,775,501","805,511",258,"19,735,588"
Latto,"18,761,975","864,652",74,"38,062,951"
Julieta Venegas,"18,753,630","756,200",397,"18,935,716"
Gotye,"18,711,047","736,862",403,"18,794,211"
Lenny Tavárez,"18,637,891","476,319",278,"22,544,589"
Zerb,"18,628,004","644,184",407,"18,628,004"
LISA,"18,614,819","1,541,673",382,"19,108,257"
Dimitri Vegas & Like Mike,"18,608,281","620,941",357,"19,897,730"
Diljit Dosanjh,"18,601,455","134,435",375,"18,859,690"
Eurythmics,"18,539,803","897,818",364,"19,541,941"
Darshan Raval,"18,529,178","77,133",286,"20,349,184"
R3HAB,"18,511,799","597,072",210,"23,584,295"
The Outfield,"18,486,329","728,323",406,"18,679,003"
Dire Straits,"18,465,079","856,325",331,"18,973,084"
Noah Cyrus,"18,450,936","1,480,803",339,"20,615,213"
PNAU,"18,450,407","750,876",220,"22,323,897"
Duki,"18,441,438","514,813",162,"26,492,455"
Stevie Wonder,"18,377,175","828,362",114,"34,912,997"
Lil Yachty,"18,357,292","392,577",315,"20,524,026"
Jay Wheeler,"18,284,830","609,700",300,"19,956,526"
Jubin Nautiyal,"18,277,840","182,346",241,"22,249,499"
Justin Quiles,"18,183,197","517,330",223,"21,581,896"
Zion & Lennox,"18,180,942","709,878",230,"22,169,487"
Carly Rae Jepsen,"18,123,483","845,589",317,"18,869,973"
Bon Iver,"18,059,109","693,403",326,"18,933,129"
Chinmayi,"18,042,070","241,168",357,"18,042,070"
My Chemical Romance,"18,035,732","733,220",389,"18,035,732"
The Walters,"18,007,435","669,440",410,"18,340,114"
Banda MS de Sergio Lizárraga,"17,929,578","206,317",393,"18,018,192"
Yeat,"17,926,713","364,055",149,"28,149,740"
Juanes,"17,895,410","689,571",332,"19,164,230"
Led Zeppelin,"17,877,528","763,527",294,"19,271,072"
Carlos Vives,"17,868,663","762,792",375,"18,536,260"
Mike Posner,"17,841,622","737,573",435,"17,846,219"
Cage The Elephant,"17,828,586","539,336",401,"18,292,417"
MC Ryan SP,"17,800,956","-35,108",349,"19,355,147"
Jimin,"17,732,257","773,568",374,"17,732,257"
NLE Choppa,"17,713,425","422,333",181,"24,991,591"
Kimbra,"17,695,715","689,791",434,"17,775,476"
Shaggy,"17,668,876","711,173",328,"18,459,819"
Jonas Blue,"17,660,876","653,750",226,"22,821,691"
Ruth B.,"17,657,548","1,960,910",224,"23,065,545"
TINI,"17,625,538","560,781",194,"22,906,402"
Kelly Clarkson,"17,558,657","756,658",37,"58,005,216"
Sunidhi Chauhan,"17,556,515","234,290",385,"17,556,515"
Jonas Brothers,"17,551,505","1,713,999",119,"34,608,604"
Dean Lewis,"17,505,728","643,215",266,"19,801,720"
Julia Michaels,"17,485,281","623,164",309,"20,387,752"
Luis Miguel,"17,483,159","331,604",309,"19,398,229"
Hanumankind,"17,469,019","1,720,049",451,"17,469,019"
R.E.M.,"17,415,753","763,773",332,"18,434,788"
The White Stripes,"17,414,126","1,798,113",290,"22,483,264"
John Mayer,"17,387,831","571,620",327,"19,806,976"
MGMT,"17,333,846","594,932",416,"18,279,387"
Tinashe,"17,290,074","697,174",377,"19,002,563"
Xavi,"17,281,501","230,444",129,"31,501,727"
The Cure,"17,244,847","647,633",354,"18,630,408"
Prince Royce,"17,194,284","672,056",339,"18,754,885"
Topic,"17,164,274","717,287",343,"17,164,274"
Gwen Stefani,"17,156,079","696,532",160,"30,087,158"
David Bowie,"17,151,357","726,199",317,"20,160,489"
Michael Marcagi,"17,135,873","628,029",307,"21,166,338"
Eslabon Armado,"17,123,048","531,705",64,"40,132,836"
Beéle,"17,087,979","616,766",352,"17,704,790"
Kane Brown,"17,080,656","449,309",418,"18,066,809"
B.o.B,"17,080,414","1,134,744",312,"19,279,361"
