Artist,Listeners,Daily Trend,Peak,PkListeners
Staind,"5,664,101","278,891",2005,"5,664,101"
Abel Pintos,"5,662,245","290,197",1666,"6,141,431"
SLANDER,"5,659,745","174,327",1001,"8,719,324"
Sam Barber,"5,656,990","102,516",1921,"5,778,869"
Sérgio Mendes,"5,656,082","323,203",1978,"5,656,082"
Lalo Ebratt,"5,654,927","300,665",1289,"6,848,168"
Kevin Gates,"5,651,171","183,714",1347,"6,599,566"
Uzielito Mix,"5,648,483","133,024",705,"11,822,681"
Reyli Barba,"5,647,305","129,575",1690,"6,504,192"
The Bangles,"5,644,536","321,572",1629,"6,024,943"
Sub Urban,"5,640,646","257,233",1361,"6,184,586"
John Mellencamp,"5,639,516","252,201",1308,"7,110,678"
Tom Walker,"5,639,221","272,410",1077,"8,610,478"
Nemzzz,"5,633,905","154,207",1845,"5,851,104"
Hesham Abdul Wahab,"5,632,203","258,165",1387,"6,880,506"
Steppenwolf,"5,631,053","300,066",1656,"5,876,307"
Stevie Nicks,"5,629,229","345,928",1461,"6,663,778"
Cup of Joe,"5,625,612","161,874",1973,"5,625,612"
Hillsong Worship,"5,624,415","158,327",1546,"6,365,094"
George Benson,"5,622,396","310,089",1824,"5,841,245"
Arsy Widianto,"5,621,975","171,411",1394,"7,548,522"
Alice Deejay,"5,617,049","291,120",1935,"5,622,758"
Adie,"5,616,773","183,564",1976,"5,616,773"
Tom Jones,"5,610,461","315,558",1479,"7,112,709"
Código FN,"5,601,097","160,454",1032,"9,044,494"
Wu-Tang Clan,"5,599,059","262,661",1419,"6,402,931"
Alejandra Guzman,"5,598,761","225,965",1660,"6,408,379"
Chris de Burgh,"5,596,662","268,364",1993,"5,596,662"
Prakriti Kakar,"5,596,054","239,432",1516,"6,850,190"
Ikka,"5,593,735","246,696",1570,"6,805,552"
Eiffel 65,"5,591,778","329,195",1586,"5,725,560"
Richard Marx,"5,588,122","255,865",1921,"5,793,041"
Luther Vandross,"5,587,721","239,135",1718,"6,410,696"
TRASHXRL,"5,585,987","250,347",1696,"6,170,901"
Ramones,"5,583,817","262,066",1270,"7,387,634"
Alvaro Soler,"5,576,267","255,229",1311,"6,981,343"
Los Auténticos Decadentes,"5,575,529","279,349",1292,"6,390,639"
Sheck Wes,"5,573,281","239,955",1286,"6,857,387"
Pat Benatar,"5,571,136","275,655",1673,"5,988,067"
Kaifi Khalil,"5,570,687","207,509",1038,"8,200,279"
Arthur Nery,"5,569,869","160,628",1808,"5,946,366"
1nonly,"5,566,599","278,461",1389,"6,409,926"
Beret,"5,565,198","146,650",1344,"6,605,918"
Elefante,"5,563,417","251,928",1825,"5,603,821"
Carpenters,"5,562,582","301,792",428,"17,864,695"
